Date,Year,Month,Day,Time,Temperature,Humidity
2022-07-18 16:48:32.839391,2022,7,18,16:48:32,33.0,25.0
2022-07-18 17:03:33.364782,2022,7,18,17:03:33,34.0,28.0
2022-07-18 17:18:33.890008,2022,7,18,17:18:33,34.0,27.0
2022-07-18 17:33:34.415208,2022,7,18,17:33:34,17.0,141.0
2022-07-18 17:48:34.940317,2022,7,18,17:48:34,34.0,28.0
2022-07-18 18:03:35.465421,2022,7,18,18:03:35,34.0,27.0
2022-07-18 18:18:35.990456,2022,7,18,18:18:35,17.0,141.0
2022-07-18 18:33:36.515636,2022,7,18,18:33:36,34.0,24.0
2022-07-18 18:48:37.040932,2022,7,18,18:48:37,34.0,23.0
2022-07-18 19:03:37.566276,2022,7,18,19:03:37,34.0,26.0
2022-07-18 19:18:38.091549,2022,7,18,19:18:38,34.0,28.0
2022-07-18 19:33:38.616786,2022,7,18,19:33:38,34.0,28.0
2022-07-18 19:48:39.141928,2022,7,18,19:48:39,34.0,28.0
2022-07-18 20:03:39.667164,2022,7,18,20:03:39,34.0,29.0
2022-07-18 20:18:40.192533,2022,7,18,20:18:40,34.0,29.0
2022-07-18 20:33:40.717975,2022,7,18,20:33:40,34.0,30.0
2022-07-18 20:48:41.243442,2022,7,18,20:48:41,34.0,31.0
2022-07-18 21:03:41.768498,2022,7,18,21:03:41,34.0,32.0
2022-07-18 21:18:42.293780,2022,7,18,21:18:42,34.0,31.0
2022-07-19 07:42:09.845846,2022,7,19,07:42:09,34.0,30.0
2022-07-19 07:57:10.371488,2022,7,19,07:57:10,31.0,40.0
2022-07-19 08:12:10.897407,2022,7,19,08:12:10,31.0,39.0
2022-07-19 08:27:11.423027,2022,7,19,08:27:11,32.0,39.0
2022-07-19 08:42:11.948790,2022,7,19,08:42:11,32.0,39.0
2022-07-19 08:57:12.474260,2022,7,19,08:57:12,32.0,39.0
2022-07-19 09:12:12.999675,2022,7,19,09:12:12,32.0,38.0
2022-07-19 09:27:13.525241,2022,7,19,09:27:13,32.0,38.0
2022-07-19 09:42:14.050909,2022,7,19,09:42:14,32.0,38.0
2022-07-19 09:57:14.576450,2022,7,19,09:57:14,32.0,37.0
2022-07-19 10:12:15.102173,2022,7,19,10:12:15,32.0,37.0
2022-07-19 10:27:15.628063,2022,7,19,10:27:15,33.0,38.0
2022-07-19 10:42:16.153838,2022,7,19,10:42:16,33.0,37.0
2022-07-19 10:57:16.679340,2022,7,19,10:57:16,33.0,37.0
2022-07-19 11:12:17.205229,2022,7,19,11:12:17,33.0,37.0
2022-07-19 11:27:17.731049,2022,7,19,11:27:17,33.0,36.0
2022-07-19 11:42:18.256600,2022,7,19,11:42:18,33.0,36.0
2022-07-19 11:57:18.782060,2022,7,19,11:57:18,33.0,36.0
2022-07-19 12:12:19.307600,2022,7,19,12:12:19,33.0,35.0
2022-07-19 12:27:19.833162,2022,7,19,12:27:19,33.0,35.0
2022-07-19 12:42:20.358848,2022,7,19,12:42:20,34.0,35.0
2022-07-19 12:57:20.884234,2022,7,19,12:57:20,34.0,34.0
2022-07-19 13:12:21.409448,2022,7,19,13:12:21,34.0,34.0
2022-07-19 13:27:21.934595,2022,7,19,13:27:21,34.0,33.0
2022-07-19 13:42:22.459823,2022,7,19,13:42:22,34.0,33.0
2022-07-19 13:57:22.985022,2022,7,19,13:57:22,34.0,33.0
2022-07-19 14:12:23.510301,2022,7,19,14:12:23,34.0,33.0
2022-07-19 14:27:24.035606,2022,7,19,14:27:24,34.0,33.0
2022-07-19 14:42:24.561766,2022,7,19,14:42:24,34.0,33.0
2022-07-19 14:57:25.087623,2022,7,19,14:57:25,34.0,33.0
2022-07-19 15:12:25.613381,2022,7,19,15:12:25,34.0,33.0
2022-07-19 15:27:26.138946,2022,7,19,15:27:26,34.0,33.0
2022-07-19 15:42:26.664540,2022,7,19,15:42:26,34.0,33.0
2022-07-19 15:57:27.190093,2022,7,19,15:57:27,34.0,33.0
2022-07-19 16:12:27.716059,2022,7,19,16:12:27,35.0,33.0
2022-07-19 16:27:28.241794,2022,7,19,16:27:28,35.0,32.0
2022-07-19 16:42:28.767202,2022,7,19,16:42:28,35.0,32.0
2022-07-19 16:57:29.292658,2022,7,19,16:57:29,35.0,32.0
2022-07-19 17:12:29.818089,2022,7,19,17:12:29,35.0,32.0
2022-07-19 17:27:30.343539,2022,7,19,17:27:30,35.0,32.0
2022-07-19 17:42:30.869037,2022,7,19,17:42:30,35.0,32.0
2022-07-19 17:57:31.394714,2022,7,19,17:57:31,35.0,31.0
2022-07-19 18:12:31.920262,2022,7,19,18:12:31,35.0,32.0
2022-07-19 18:27:32.446320,2022,7,19,18:27:32,35.0,31.0
2022-07-19 18:42:32.972465,2022,7,19,18:42:32,35.0,31.0
2022-07-19 18:57:33.498364,2022,7,19,18:57:33,35.0,32.0
2022-07-19 19:12:34.024073,2022,7,19,19:12:34,35.0,36.0
2022-07-19 19:27:37.077423,2022,7,19,19:27:37,35.0,32.0
2022-07-19 19:42:37.603271,2022,7,19,19:42:37,35.0,27.0
2022-07-19 19:57:38.128688,2022,7,19,19:57:38,35.0,36.0
2022-07-19 20:12:38.654164,2022,7,19,20:12:38,35.0,36.0
2022-07-19 20:27:39.179476,2022,7,19,20:27:39,36.0,37.0
2022-07-19 20:42:39.704683,2022,7,19,20:42:39,36.0,37.0
2022-07-19 20:57:40.230160,2022,7,19,20:57:40,35.0,38.0
2022-07-19 21:12:40.755275,2022,7,19,21:12:40,17.0,147.0
2022-07-19 21:27:41.280588,2022,7,19,21:27:41,35.0,38.0
2022-07-19 21:42:41.805923,2022,7,19,21:42:41,35.0,40.0
2022-07-19 21:57:42.331269,2022,7,19,21:57:42,35.0,41.0
2022-07-19 22:12:42.856827,2022,7,19,22:12:42,34.0,41.0
2022-07-19 22:27:43.382145,2022,7,19,22:27:43,34.0,39.0
2022-07-19 22:42:43.907530,2022,7,19,22:42:43,34.0,39.0
2022-07-19 22:57:46.960377,2022,7,19,22:57:46,34.0,41.0
2022-07-19 23:12:47.485806,2022,7,19,23:12:47,34.0,37.0
2022-07-19 23:27:48.011469,2022,7,19,23:27:48,34.0,44.0
2022-07-19 23:42:48.536900,2022,7,19,23:42:48,35.0,46.0
2022-07-19 23:57:49.062298,2022,7,19,23:57:49,35.0,48.0
2022-07-20 00:12:49.587893,2022,7,20,00:12:49,34.0,49.0
2022-07-20 00:27:52.643461,2022,7,20,00:27:52,34.0,48.0
2022-07-20 00:42:53.168918,2022,7,20,00:42:53,34.0,42.0
2022-07-20 00:57:53.694467,2022,7,20,00:57:53,34.0,43.0
2022-07-20 01:12:54.219894,2022,7,20,01:12:54,34.0,44.0
2022-07-20 01:27:54.745367,2022,7,20,01:27:54,34.0,42.0
2022-07-20 01:42:55.270690,2022,7,20,01:42:55,33.0,41.0
2022-07-20 01:57:55.795868,2022,7,20,01:57:55,33.0,41.0
2022-07-20 02:12:56.321150,2022,7,20,02:12:56,33.0,40.0
2022-07-20 02:27:56.846441,2022,7,20,02:27:56,33.0,41.0
2022-07-20 02:42:57.371724,2022,7,20,02:42:57,33.0,41.0
2022-07-20 02:57:57.897028,2022,7,20,02:57:57,33.0,42.0
2022-07-20 03:12:58.422313,2022,7,20,03:12:58,33.0,41.0
2022-07-20 03:27:58.947644,2022,7,20,03:27:58,33.0,40.0
2022-07-20 03:42:59.472995,2022,7,20,03:42:59,33.0,40.0
2022-07-20 03:57:59.998545,2022,7,20,03:57:59,32.0,39.0
2022-07-20 04:13:00.523960,2022,7,20,04:13:00,32.0,39.0
2022-07-20 04:28:01.049375,2022,7,20,04:28:01,32.0,40.0
2022-07-20 04:43:01.575867,2022,7,20,04:43:01,32.0,40.0
2022-07-20 04:58:02.101325,2022,7,20,04:58:02,32.0,40.0
2022-07-20 05:13:02.626790,2022,7,20,05:13:02,32.0,40.0
2022-07-20 05:28:03.152139,2022,7,20,05:28:03,32.0,41.0
2022-07-20 05:43:03.677717,2022,7,20,05:43:03,32.0,41.0
2022-07-20 05:58:04.203546,2022,7,20,05:58:04,32.0,41.0
2022-07-20 06:13:04.729503,2022,7,20,06:13:04,32.0,41.0
2022-07-20 06:28:05.255451,2022,7,20,06:28:05,32.0,41.0
2022-07-20 06:43:05.781190,2022,7,20,06:43:05,32.0,40.0
2022-07-20 06:58:06.306818,2022,7,20,06:58:06,32.0,43.0
2022-07-20 07:13:06.832027,2022,7,20,07:13:06,32.0,44.0
2022-07-20 07:28:07.357234,2022,7,20,07:28:07,33.0,43.0
2022-07-20 07:43:07.882435,2022,7,20,07:43:07,33.0,43.0
2022-07-20 07:58:08.407759,2022,7,20,07:58:08,32.0,42.0
2022-07-20 08:13:08.933065,2022,7,20,08:13:08,32.0,41.0
2022-07-20 08:28:09.458330,2022,7,20,08:28:09,32.0,40.0
2022-07-20 08:43:09.983940,2022,7,20,08:43:09,31.0,41.0
